timestamp,user_id,session_id,task_index,skill,task_id,difficulty_before,difficulty_after,delta,answer_type,question,answer,user_answer,is_correct,time_taken,expected_time,p_correct
2026-01-24T15:48:21.457174,test_user,b099a1ba-10ac-45cc-bfbf-3eec7607da81,0,numerical,NUM-DIV-0,0,3,3,integer,What is 1950 divided by 150?,13,13,TRUE,9.077885866,8.741980595,0.17875656
2026-01-24T15:48:26.159953,test_user,b099a1ba-10ac-45cc-bfbf-3eec7607da81,1,numerical,NUM-NEARBOUNDARY-3,3,5,2,integer,What is 54 + 8?,62,62,TRUE,4.697344065,3.699064844,0.295669264
2026-01-24T15:48:30.901723,test_user,b099a1ba-10ac-45cc-bfbf-3eec7607da81,2,logical,LOG-BOOL-5-2-2,5,9,4,boolean,"A is True.
B is True.
What is: ((A OR A) AND B)?",TRUE,t,TRUE,4.735276222,9.857533338,0.382643437
2026-01-24T15:48:34.048608,test_user,b099a1ba-10ac-45cc-bfbf-3eec7607da81,3,logical,LOG-BOOL-9-2-2,9,12,3,boolean,"A is False.
B is False.
What is: ((A OR B) OR B)?",FALSE,f,TRUE,3.140544653,10.66843307,0.412596675
2026-01-24T15:48:43.535425,test_user,b099a1ba-10ac-45cc-bfbf-3eec7607da81,4,logical,LOG-IMP-12-5-3,12,15,3,yesno,"B is True.
E is True.
If C is True, then E is True.
If A is True, then C is True.
If B is True, then A is True.
Is A True?",yes,yes,TRUE,9.481333733,10.61680854,0.348459424
2026-01-24T15:48:52.238463,test_user,b099a1ba-10ac-45cc-bfbf-3eec7607da81,5,numerical,NUM-DIV-15,15,18,3,integer,What is 10800 divided by 600?,18,18,TRUE,8.697608471,11.78285459,0.258139311
2026-01-24T15:48:55.814992,test_user,b099a1ba-10ac-45cc-bfbf-3eec7607da81,6,numerical,NUM-RATIOSCALING-18,18,20,2,integer,"5 -> 40, 8 -> ?",64,64,TRUE,3.571218967,4.545408284,0.624704911
2026-01-24T15:49:07.246299,test_user,b099a1ba-10ac-45cc-bfbf-3eec7607da81,7,logical,LOG-COMP-20-12,20,23,3,yesno,J is larger than D. K is larger than B. J is larger than K. H is larger than B. H is larger than A. A is larger than F. Is F larger than H?,no,no,TRUE,11.42587805,19.37167631,0.795031199
2026-01-24T15:49:24.149808,test_user,b099a1ba-10ac-45cc-bfbf-3eec7607da81,8,pattern,PAT-MIXED-23-4-10-10,23,26,3,integer,"9, 17, 25, 250, 260, 268, 276, 2760, 2770, ?",2778,2778,TRUE,16.89804649,23.42971269,0.392903218
2026-01-24T15:49:34.166223,test_user,b099a1ba-10ac-45cc-bfbf-3eec7607da81,9,pattern,PAT-AP-26-9-35,26,28,2,integer,"33, 3, -27, -57, -87, -117, -147, -177, -207, ?",-237,-237,TRUE,10.0099628,9.849825941,0.58246594
2026-01-24T15:50:12.830966,test_user,b099a1ba-10ac-45cc-bfbf-3eec7607da81,10,pattern,PAT-MIXED-28-4-11-12,28,29,1,integer,"1, 3, 6, 17, 119, 121, 124, 135, 945, 947, ?",950,950,TRUE,38.65854287,24.44333735,0.430760904
2026-01-24T15:50:16.150152,test_user,b099a1ba-10ac-45cc-bfbf-3eec7607da81,11,numerical,NUM-RATIO-INVERSE-29,29,32,3,integer,"80 -> 8, 90 -> ?",9,9,TRUE,3.31379199,6.298188351,0.884355569
2026-01-24T15:50:24.854384,test_user,b099a1ba-10ac-45cc-bfbf-3eec7607da81,12,numerical,NUM-NEARBOUNDARY-32,32,34,2,integer,What is 1050 - 976?,74,74,TRUE,8.698699951,9.578087902,0.509744564
2026-01-24T15:50:33.551685,test_user,b099a1ba-10ac-45cc-bfbf-3eec7607da81,13,numerical,NUM-NEARBOUNDARY-34,34,36,2,integer,What is 2036 + 2011?,4047,4047,TRUE,8.691424847,9.983537768,0.525361767
2026-01-24T15:50:42.374346,test_user,b099a1ba-10ac-45cc-bfbf-3eec7607da81,14,logical,LOG-IMP-36-7-7,36,39,3,yesno,"G is True.
E is True.
If C is True, then F is True.
If G is True, then C is True.
If F is True, then A is True.
If E is True, then F is True.
If G is True, then E is True.
If F is True, then C is True.
If D is True, then F is True.
Is A True?",yes,yes,TRUE,8.81677103,15.48220693,0.531158156
2026-01-24T15:50:55.101641,test_user,b099a1ba-10ac-45cc-bfbf-3eec7607da81,15,numerical,NUM-NEARBOUNDARY-39,39,41,2,integer,What is 1018 + 977?,1995,1995,TRUE,12.72209239,10.99716243,0.564122885
2026-01-24T15:51:01.580431,test_user,b099a1ba-10ac-45cc-bfbf-3eec7607da81,16,numerical,NUM-DIV-41,41,44,3,integer,What is 8400 divided by 600?,14,14,TRUE,6.473479986,17.05370285,0.439670643
2026-01-24T15:51:24.957212,test_user,b099a1ba-10ac-45cc-bfbf-3eec7607da81,17,logical,LOG-COMP-44-17,44,46,2,yesno,L is older than D. O is older than G. G is older than C. A is older than G. H is older than E. E is older than O. C is older than L. K is older than N. Is A older than L?,yes,yes,TRUE,23.36507607,24.23707471,0.891498116
2026-01-24T15:51:53.310328,test_user,b099a1ba-10ac-45cc-bfbf-3eec7607da81,18,numerical,NUM-SQUARE-46,46,44,-2,integer,What is 24^2?,576,476,FALSE,28.34732819,17.46625383,0.658579057
2026-01-24T15:52:07.454409,test_user,b099a1ba-10ac-45cc-bfbf-3eec7607da81,19,logical,LOG-COMP-44-20,44,47,3,yesno,Q is heavier than E. G is heavier than Q. P is heavier than D. K is heavier than A. C is heavier than J. J is heavier than A. C is heavier than D. A is heavier than F. N is heavier than T. Q is heavier than F. Is F heavier than G?,no,no,TRUE,14.13814235,24.23707471,0.891498116
2026-01-24T15:52:15.726144,test_user,b099a1ba-10ac-45cc-bfbf-3eec7607da81,20,logical,LOG-CONSTRAINT-47-8-7,47,50,3,yesno,"C is left of F.
G is left of C.
F is left of E.
C is left of A.
A is left of G.
G is left of H.
C is left of B.
Is B left of G?",no,no,TRUE,8.266002655,16.73675345,0.852143523
2026-01-24T15:52:58.148303,test_user,b099a1ba-10ac-45cc-bfbf-3eec7607da81,21,pattern,PAT-MIXED-50-3-11-12,50,51,1,integer,"4, 8, 17, 51, 102, 111, 333, 666, 675, 2025, ?",4050,4050,TRUE,42.38957644,28.90328588,0.600923338
2026-01-24T15:53:12.595927,test_user,b099a1ba-10ac-45cc-bfbf-3eec7607da81,22,pattern,PAT-MP-51-8-3,51,53,2,integer,"12, 36, 108, 324, 972, 2916, 8748, 26244, ?",78732,78732,TRUE,14.44234443,19.53691097,0.906924017
2026-01-24T16:08:12.796802,test_user,33475bc5-3546-4c2b-bc93-679dfb9afe88,0,numerical,NUM-SQUARE-0,0,4,4,integer,What is 2^2?,4,4,TRUE,2.704907894,8.140906912,0.313952539
2026-01-24T16:08:15.163887,test_user,33475bc5-3546-4c2b-bc93-679dfb9afe88,1,numerical,NUM-NEARBOUNDARY-4,4,8,4,integer,What is 49 + 1?,50,50,TRUE,2.360751867,3.901789777,0.302223708
2026-01-24T16:08:18.132341,test_user,33475bc5-3546-4c2b-bc93-679dfb9afe88,2,numerical,NUM-RATIOSCALING-8,8,10,2,integer,"5 -> 15, 6 -> ?",18,18,TRUE,2.955664873,2.518158954,0.549044712
2026-01-24T16:08:26.251752,test_user,33475bc5-3546-4c2b-bc93-679dfb9afe88,3,pattern,PAT-MP-10-5-3,10,12,2,integer,"5, 15, 45, 135, 405, ?",1215,1215,TRUE,8.113009453,11.22518871,0.729945609
2026-01-24T16:08:28.012328,test_user,33475bc5-3546-4c2b-bc93-679dfb9afe88,4,numerical,NUM-SQUARE-12,12,16,4,integer,What is 5^2?,25,25,TRUE,1.754736185,10.57360611,0.399775915
2026-01-24T16:08:36.755544,test_user,33475bc5-3546-4c2b-bc93-679dfb9afe88,5,pattern,PAT-AP-16-6-15,16,18,2,integer,"-18, -31, -44, -57, -70, -83, ?",-96,-96,TRUE,8.737934351,7.822576611,0.505037205
2026-01-24T16:08:43.717452,test_user,33475bc5-3546-4c2b-bc93-679dfb9afe88,6,pattern,PAT-MIXED-18-2-8-8,18,17,-1,integer,"13, 20, 25, 32, 37, 44, 49, ?",56,54,FALSE,6.956027508,22.41608802,0.356290197
2026-01-24T16:08:53.309365,test_user,33475bc5-3546-4c2b-bc93-679dfb9afe88,7,pattern,PAT-CP-17-4-9,17,18,1,integer,"9, 13, 20, 3, 9, 13, 20, 3, 9, ?",13,13,TRUE,9.586056232,5.34793634,0.474705375
2026-01-24T16:08:59.260538,test_user,33475bc5-3546-4c2b-bc93-679dfb9afe88,8,numerical,NUM-RATIO-INVERSE-18,18,19,1,integer,"42 -> 7, 12 -> ?",2,2,TRUE,5.945934772,4.068214088,0.844264711
2026-01-24T16:09:05.357793,test_user,33475bc5-3546-4c2b-bc93-679dfb9afe88,9,numerical,NUM-DIV-19,19,23,4,integer,What is 18000 divided by 1200?,15,15,TRUE,6.090607405,12.59375432,0.28281111
2026-01-24T16:09:12.835809,test_user,33475bc5-3546-4c2b-bc93-679dfb9afe88,10,logical,LOG-BOOL-23-4-4,23,26,3,boolean,"A is True.
B is True.
C is False.
D is True.
What is: (NOT ((((D AND C) AND (NOT B)) AND C) AND (NOT D)))?",TRUE,t,TRUE,7.472443104,13.50658213,0.521141384
2026-01-24T16:09:33.843771,test_user,33475bc5-3546-4c2b-bc93-679dfb9afe88,11,logical,LOG-COMP-26-25,26,28,2,yesno,B is heavier than E. Y is heavier than F. V is heavier than N. O is heavier than Y. I is heavier than G. X is heavier than Q. S is heavier than W. H is heavier than Q. X is heavier than S. G is heavier than O. S is heavier than A. H is heavier than L. Is Y heavier than I?,no,no,TRUE,21.00180197,20.58802591,0.82392604
